,activity_day,workout_type,distance,time,calories,total_steps,avg_speed,avg_cadence,max_cadence,avg_pace,max_pace,min_pace,avg_heart_rate,max_heart_rate,min_heart_rate,vo2_max(%),aerobic(%),anaerobic(%),intensive(%),light(%)
58,2022-01-03,Trekking,4.73,85,417,5028.0,31.29,28.81,186.54,07:55,24:45,07:45,111.0,124.0,98,28,50,0,23,31
59,2022-01-03,Treadmill,5.88,65,365,4550.0,29.87,100.98,298.5,07:59,27:58,07:58,92.5,105.0,80,15,26,7,64,62
60,2022-01-03,Trail Run,7.19,94,185,2790.0,7.34,62.8,210.3,06:48,25:50,06:20,137.5,188.0,87,37,0,80,45,66
61,2022-01-03,Treadmill,1.35,32,399,4550.0,5.0,173.65,207.25,07:59,27:58,07:58,104.5,105.0,104,17,26,7,15,76
62,2022-01-03,Open Water,2.74,102,473,,17.41,152.21,342.31,nan,nan,nan,135.5,166.0,105,45,0,5,62,92
63,2022-01-03,Trekking,2.96,59,465,5028.0,37.0,114.9,162.78,07:55,24:45,07:45,106.0,124.0,88,20,50,0,44,71
64,2022-01-03,Freestyle,4.82,108,406,,10.6,119.71,167.19,nan,nan,nan,113.0,122.0,104,8,28,2,58,23
65,2022-01-03,Freestyle,2.54,74,196,,34.35,106.9,270.53,nan,nan,nan,108.0,122.0,94,28,28,2,64,32
66,2022-01-03,Trail Run,2.69,89,277,2790.0,15.32,21.36,319.6,06:48,25:50,06:20,139.5,188.0,91,2,0,80,57,16
67,2022-01-03,Pool Swimming,2.14,67,518,,24.17,49.69,273.26,nan,nan,nan,134.5,175.0,94,22,20,15,27,93
68,2022-01-03,Indoor Cycling,3.95,68,435,,37.36,120.82,56.14,nan,nan,nan,93.0,90.0,96,7,32,0,60,60
69,2022-01-03,Treadmill,3.44,118,181,4550.0,7.24,72.65,83.99,07:59,27:58,07:58,94.5,105.0,84,42,26,7,52,97
70,2022-01-03,Walking,6.13,80,232,1571.0,33.87,197.68,161.72,07:58,28:58,07:58,97.0,85.0,109,12,22,0,54,36
71,2022-01-03,Trekking,9.39,65,436,5028.0,34.15,36.99,317.34,07:55,24:45,07:45,104.0,124.0,84,3,50,0,45,92
72,2022-01-03,Open Water,9.83,104,184,,6.25,26.52,297.7,nan,nan,nan,126.0,166.0,86,42,0,5,56,41
73,2022-01-03,Outdoor Cycling,7.41,46,375,,37.8,60.94,260.59,nan,nan,nan,139.5,177.0,102,28,45,15,18,25
74,2022-01-04,Trail Run,3.38,43,392,2790.0,21.78,159.87,247.99,06:48,25:50,06:20,141.5,188.0,95,15,0,80,24,71
75,2022-01-04,Indoor Cycling,2.56,85,312,,29.21,127.49,262.71,nan,nan,nan,91.0,90.0,92,17,32,0,8,4
76,2022-01-04,Treadmill,1.65,63,208,4550.0,28.94,171.44,161.58,07:59,27:58,07:58,94.5,105.0,84,10,26,7,49,26
77,2022-01-04,Indoor Cycling,3.0,102,64,,21.11,14.62,342.94,nan,nan,nan,94.0,90.0,98,9,32,0,63,82
78,2022-01-04,Outdoor Running,2.1,119,30,7618.0,30.4,132.11,221.96,06:44,27:44,06:15,148.0,190.0,106,43,0,71,65,71
79,2022-01-04,Treadmill,1.27,68,526,4550.0,15.53,55.9,142.76,07:59,27:58,07:58,102.5,105.0,100,38,26,7,62,40
80,2022-01-04,Trekking,5.11,86,511,5028.0,20.28,30.23,239.64,07:55,24:45,07:45,107.5,124.0,91,43,50,0,52,78
81,2022-01-04,Treadmill,2.35,103,296,4550.0,16.0,31.66,171.91,07:59,27:58,07:58,100.5,105.0,96,13,26,7,17,27
82,2022-01-04,Outdoor Cycling,1.58,77,132,,20.69,164.88,270.79,nan,nan,nan,133.0,177.0,89,11,45,15,9,2
83,2022-01-04,Pool Swimming,9.1,116,21,,8.5,87.83,341.91,nan,nan,nan,143.0,175.0,111,6,20,15,41,60
84,2022-01-04,Freestyle,3.37,113,545,,15.72,64.18,161.0,nan,nan,nan,112.0,122.0,102,33,28,2,24,48
85,2022-01-04,Open Water,7.49,47,531,,10.83,22.19,320.97,nan,nan,nan,134.0,166.0,102,7,0,5,44,59
86,2022-01-04,Trail Run,8.39,109,531,2790.0,28.15,31.2,204.72,06:48,25:50,06:20,147.5,188.0,107,29,0,80,26,17
87,2022-01-04,Freestyle,4.5,88,496,,35.51,109.75,294.35,nan,nan,nan,107.5,122.0,93,20,28,2,50,83
88,2022-01-04,Open Water,8.47,46,264,,38.18,22.99,89.14,nan,nan,nan,132.5,166.0,99,20,0,5,50,99
89,2022-01-04,Treadmill,3.44,104,372,4550.0,19.37,141.53,67.82,07:59,27:58,07:58,105.0,105.0,105,41,26,7,11,65
90,2022-01-04,Cricket,3.63,40,282,3444.0,8.96,93.5,319.57,07:015,22:02,07:02,97.5,92.0,103,43,40,10,54,85
91,2022-01-04,Walking,7.77,59,458,1571.0,12.21,167.4,56.8,07:58,28:58,07:58,88.0,85.0,91,13,22,0,40,62
92,2022-01-04,Trail Run,8.79,66,531,2790.0,9.21,24.65,295.77,06:48,25:50,06:20,148.5,188.0,109,4,0,80,51,97
93,2022-01-04,Open Water,2.27,35,298,,8.82,16.1,276.41,nan,nan,nan,127.5,166.0,89,7,0,5,47,9
94,2022-01-04,Indoor Cycling,7.34,84,244,,6.2,72.62,296.85,nan,nan,nan,95.0,90.0,100,21,32,0,12,41
95,2022-01-05,Cricket,8.89,75,32,3444.0,17.28,176.6,194.65,07:015,22:02,07:02,87.5,92.0,83,32,40,10,39,22
96,2022-01-05,Indoor Cycling,3.22,70,175,,23.78,66.56,320.9,nan,nan,nan,97.5,90.0,105,14,32,0,9,54
97,2022-01-05,Outdoor Running,7.82,20,412,7618.0,33.27,32.18,116.15,06:44,27:44,06:15,150.0,190.0,110,5,0,71,18,59
98,2022-01-05,Trail Run,5.29,59,182,2790.0,29.18,85.0,240.84,06:48,25:50,06:20,144.5,188.0,101,11,0,80,6,15
99,2022-01-05,Trekking,1.64,22,221,5028.0,13.39,149.23,226.76,07:55,24:45,07:45,109.0,124.0,94,6,50,0,13,40
100,2022-01-05,Outdoor Cycling,2.97,87,224,,23.27,171.73,126.99,nan,nan,nan,133.0,177.0,89,35,45,15,61,67
101,2022-01-05,Freestyle,2.52,63,314,,30.98,80.14,315.9,nan,nan,nan,116.5,122.0,111,45,28,2,44,99
102,2022-01-05,Open Water,8.56,53,260,,23.32,52.69,67.26,nan,nan,nan,133.0,166.0,100,14,0,5,42,46
103,2022-01-05,Open Water,7.67,96,250,,35.75,47.9,139.11,nan,nan,nan,130.5,166.0,95,19,0,5,27,10
104,2022-01-05,Trail Run,2.16,110,532,2790.0,2.97,10.45,286.1,06:48,25:50,06:20,135.0,188.0,82,5,0,80,33,95
105,2022-01-05,Trekking,8.6,53,451,5028.0,25.66,137.69,339.65,07:55,24:45,07:45,114.0,124.0,104,1,50,0,60,57
106,2022-01-05,Walking,5.28,42,236,1571.0,2.26,101.93,186.25,07:58,28:58,07:58,84.5,85.0,84,12,22,0,55,13
107,2022-01-05,Cricket,5.6,56,512,3444.0,28.66,63.22,213.29,07:015,22:02,07:02,101.5,92.0,111,40,40,10,29,17
108,2022-01-05,Trekking,3.41,66,220,5028.0,23.68,163.15,79.39,07:55,24:45,07:45,113.0,124.0,102,19,50,0,60,99
109,2022-01-05,Trail Run,4.22,84,161,2790.0,17.93,135.6,150.18,06:48,25:50,06:20,148.0,188.0,108,10,0,80,38,43
110,2022-01-05,Pool Swimming,9.8,115,373,,31.74,14.42,144.87,nan,nan,nan,134.5,175.0,94,42,20,15,29,49
111,2022-01-05,Cricket,8.61,49,451,3444.0,2.7,156.86,119.87,07:015,22:02,07:02,91.0,92.0,90,39,40,10,57,72
112,2022-01-05,Treadmill,9.6,106,178,4550.0,31.99,147.28,102.77,07:59,27:58,07:58,103.0,105.0,101,39,26,7,13,38
113,2022-01-05,Treadmill,3.96,103,314,4550.0,6.49,88.18,191.55,07:59,27:58,07:58,106.5,105.0,108,40,26,7,13,68
114,2022-01-05,Trail Run,2.43,25,286,2790.0,31.61,111.41,267.53,06:48,25:50,06:20,138.5,188.0,89,3,0,80,62,25
115,2022-01-05,Treadmill,8.84,95,197,4550.0,29.7,184.74,270.83,07:59,27:58,07:58,97.0,105.0,89,4,26,7,48,26
116,2022-01-05,Cricket,7.11,83,213,3444.0,5.82,35.9,87.73,07:015,22:02,07:02,89.0,92.0,86,25,40,10,67,2
117,2022-01-05,Outdoor Cycling,3.17,61,91,,32.34,159.71,162.57,nan,nan,nan,131.5,177.0,86,40,45,15,27,50
118,2022-01-05,Indoor Cycling,7.72,52,307,,8.68,20.93,307.21,nan,nan,nan,99.5,90.0,109,42,32,0,19,98
119,2022-01-06,Trail Run,6.74,86,253,2790.0,21.92,195.18,233.83,06:48,25:50,06:20,148.0,188.0,108,31,0,80,42,57
120,2022-01-06,Open Water,8.61,44,545,,25.48,146.14,161.21,nan,nan,nan,134.0,166.0,102,31,0,5,19,22
121,2022-01-06,Cricket,7.24,78,480,3444.0,1.5,144.26,220.77,07:015,22:02,07:02,98.5,92.0,105,29,40,10,46,59
122,2022-01-06,Pool Swimming,6.38,96,37,,16.79,52.57,303.36,nan,nan,nan,141.0,175.0,107,6,20,15,12,35
123,2022-01-06,Outdoor Running,5.22,34,451,7618.0,38.58,166.57,140.65,06:44,27:44,06:15,141.5,190.0,93,42,0,71,27,76
124,2022-01-06,Trekking,2.1,120,432,5028.0,37.94,97.82,136.8,07:55,24:45,07:45,115.5,124.0,107,36,50,0,14,87
125,2022-01-06,Open Water,8.67,62,27,,25.4,70.89,61.64,nan,nan,nan,136.5,166.0,107,19,0,5,43,13
126,2022-01-06,Outdoor Cycling,7.87,90,254,,15.68,96.83,241.65,nan,nan,nan,142.5,177.0,108,16,45,15,8,94
127,2022-01-06,Walking,5.51,115,500,1571.0,22.37,126.74,115.45,07:58,28:58,07:58,89.5,85.0,94,5,22,0,13,10
128,2022-01-06,Freestyle,4.19,103,362,,28.93,175.64,249.67,nan,nan,nan,111.0,122.0,100,40,28,2,66,31
129,2022-01-06,Treadmill,3.27,37,519,4550.0,20.88,68.45,268.54,07:59,27:58,07:58,101.0,105.0,97,30,26,7,64,62
130,2022-01-06,Cricket,5.15,49,462,3444.0,7.3,147.68,241.68,07:015,22:02,07:02,88.0,92.0,84,41,40,10,66,71
131,2022-01-06,Freestyle,6.41,63,269,,2.18,143.88,177.64,nan,nan,nan,114.5,122.0,107,16,28,2,62,68
132,2022-01-06,Pool Swimming,6.27,52,333,,33.45,68.67,145.7,nan,nan,nan,128.5,175.0,82,21,20,15,26,82
133,2022-01-06,Trekking,5.84,62,165,5028.0,24.96,94.44,190.91,07:55,24:45,07:45,102.5,124.0,81,3,50,0,45,26
134,2022-01-06,Outdoor Running,4.14,72,96,7618.0,9.47,128.39,94.37,06:44,27:44,06:15,143.0,190.0,96,32,0,71,11,57
135,2022-01-06,Pool Swimming,1.19,76,116,,19.5,66.0,172.81,nan,nan,nan,139.0,175.0,103,9,20,15,55,86
136,2022-01-06,Pool Swimming,1.57,27,527,,1.83,171.26,262.36,nan,nan,nan,141.0,175.0,107,41,20,15,33,67
137,2022-01-06,Trekking,1.5,85,266,5028.0,17.45,38.68,321.83,07:55,24:45,07:45,116.0,124.0,108,21,50,0,29,54
138,2022-01-06,Indoor Cycling,5.56,56,57,,11.2,142.11,276.27,nan,nan,nan,89.5,90.0,89,40,32,0,53,19
139,2022-01-06,Pool Swimming,2.1,38,145,,5.21,151.85,73.86,nan,nan,nan,132.5,175.0,90,14,20,15,58,22
140,2022-01-06,Cricket,2.39,35,484,3444.0,14.7,78.53,224.31,07:015,22:02,07:02,89.0,92.0,86,2,40,10,31,61
141,2022-01-07,Walking,9.8,79,75,1571.0,18.61,81.83,117.84,07:58,28:58,07:58,97.0,85.0,109,16,22,0,16,89
142,2022-01-07,Freestyle,1.96,79,82,,33.79,135.8,275.47,nan,nan,nan,114.5,122.0,107,37,28,2,32,30
143,2022-01-07,Outdoor Cycling,3.33,118,414,,14.83,183.15,272.56,nan,nan,nan,139.0,177.0,101,38,45,15,13,45
144,2022-01-07,Open Water,3.54,30,168,,2.24,113.25,269.49,nan,nan,nan,123.5,166.0,81,38,0,5,37,40
145,2022-01-07,Trekking,9.34,33,550,5028.0,26.51,80.62,202.71,07:55,24:45,07:45,102.5,124.0,81,33,50,0,27,73
146,2022-01-07,Walking,1.85,118,196,1571.0,32.16,35.32,244.19,07:58,28:58,07:58,84.5,85.0,84,9,22,0,24,20
147,2022-01-07,Cricket,2.42,37,344,3444.0,26.96,18.29,88.85,07:015,22:02,07:02,86.5,92.0,81,32,40,10,63,53
148,2022-01-07,Open Water,3.78,64,340,,1.16,76.66,227.75,nan,nan,nan,128.0,166.0,90,41,0,5,26,79
149,2022-01-07,Walking,7.82,36,224,1571.0,35.37,56.7,257.13,07:58,28:58,07:58,97.0,85.0,109,10,22,0,22,90
150,2022-01-07,Outdoor Running,8.49,83,112,7618.0,5.7,161.91,297.66,06:44,27:44,06:15,150.0,190.0,110,42,0,71,10,53
151,2022-01-07,Outdoor Running,1.4,71,458,7618.0,16.22,178.43,73.14,06:44,27:44,06:15,148.0,190.0,106,27,0,71,60,57
152,2022-01-07,Pool Swimming,9.15,91,387,,29.47,175.92,181.5,nan,nan,nan,140.0,175.0,105,32,20,15,32,36
153,2022-01-07,Outdoor Cycling,6.85,34,223,,27.41,77.97,83.11,nan,nan,nan,144.0,177.0,111,9,45,15,14,12
154,2022-01-07,Pool Swimming,3.98,102,110,,5.25,55.76,311.25,nan,nan,nan,140.5,175.0,106,5,20,15,21,91
155,2022-01-07,Trekking,9.66,66,262,5028.0,9.74,121.91,183.5,07:55,24:45,07:45,105.5,124.0,87,8,50,0,61,8
156,2022-01-07,Trekking,5.44,55,550,5028.0,6.69,181.53,222.52,07:55,24:45,07:45,111.0,124.0,98,28,50,0,54,88
157,2022-01-07,Pool Swimming,3.65,57,311,,13.33,84.17,183.1,nan,nan,nan,130.0,175.0,85,34,20,15,19,69
158,2022-01-08,Freestyle,4.39,65,498,,17.62,198.5,120.47,nan,nan,nan,111.5,122.0,101,13,28,2,58,46
159,2022-01-08,Walking,5.4,45,517,1571.0,12.49,122.37,330.81,07:58,28:58,07:58,98.0,85.0,111,1,22,0,46,61
160,2022-01-08,Cricket,9.3,35,245,3444.0,38.39,187.67,184.4,07:015,22:02,07:02,86.5,92.0,81,8,40,10,41,66
161,2022-01-08,Open Water,2.67,36,529,,23.68,89.3,316.61,nan,nan,nan,123.0,166.0,80,37,0,5,15,53
162,2022-01-08,Trail Run,1.69,47,102,2790.0,30.51,52.45,217.53,06:48,25:50,06:20,137.0,188.0,86,22,0,80,5,10
163,2022-01-08,Trekking,2.29,83,469,5028.0,7.12,141.48,323.25,07:55,24:45,07:45,113.0,124.0,102,2,50,0,45,11
164,2022-01-08,Treadmill,4.15,111,486,4550.0,27.55,10.36,292.68,07:59,27:58,07:58,103.0,105.0,101,1,26,7,32,74
165,2022-01-08,Treadmill,5.91,102,291,4550.0,33.98,50.96,77.35,07:59,27:58,07:58,102.5,105.0,100,34,26,7,5,82
166,2022-01-08,Freestyle,1.39,113,142,,34.9,10.15,205.7,nan,nan,nan,102.0,122.0,82,15,28,2,28,22
167,2022-01-08,Outdoor Cycling,8.71,97,362,,28.57,19.18,232.31,nan,nan,nan,132.0,177.0,87,10,45,15,8,77
168,2022-01-08,Open Water,7.5,105,340,,3.56,58.16,275.99,nan,nan,nan,130.5,166.0,95,39,0,5,15,23
169,2022-01-08,Outdoor Running,2.9,83,436,7618.0,34.33,79.27,163.45,06:44,27:44,06:15,145.0,190.0,100,27,0,71,50,38
170,2022-01-08,Cricket,9.87,62,365,3444.0,37.88,115.19,221.39,07:015,22:02,07:02,86.5,92.0,81,6,40,10,8,68
171,2022-01-08,Open Water,5.26,76,208,,21.22,188.19,233.6,nan,nan,nan,131.5,166.0,97,35,0,5,53,28
172,2022-01-08,Freestyle,2.86,42,256,,24.89,151.32,175.33,nan,nan,nan,116.5,122.0,111,22,28,2,44,8
173,2022-01-08,Treadmill,6.62,38,51,4550.0,15.34,20.1,111.94,07:59,27:58,07:58,99.5,105.0,94,25,26,7,21,82
174,2022-01-08,Treadmill,2.66,30,436,4550.0,12.23,190.7,174.33,07:59,27:58,07:58,100.0,105.0,95,1,26,7,63,72
175,2022-01-08,Outdoor Cycling,7.3,108,358,,26.28,195.79,299.47,nan,nan,nan,130.5,177.0,84,27,45,15,11,59
176,2022-01-08,Treadmill,7.35,95,182,4550.0,37.84,15.68,313.97,07:59,27:58,07:58,95.5,105.0,86,0,26,7,67,68
177,2022-01-08,Walking,8.59,24,366,1571.0,33.44,175.1,298.26,07:58,28:58,07:58,87.5,85.0,90,33,22,0,51,45
178,2022-01-08,Cricket,1.97,112,500,3444.0,29.1,54.39,320.53,07:015,22:02,07:02,93.5,92.0,95,30,40,10,46,92
179,2022-01-08,Pool Swimming,5.41,75,273,,4.63,168.79,113.48,nan,nan,nan,135.0,175.0,95,4,20,15,37,29
180,2022-01-09,Open Water,9.7,24,55,,28.5,125.99,197.9,nan,nan,nan,135.0,166.0,104,25,0,5,38,52
181,2022-01-09,Outdoor Cycling,9.77,24,228,,36.76,113.82,202.6,nan,nan,nan,143.0,177.0,109,45,45,15,16,65
182,2022-01-09,Cricket,2.2,69,399,3444.0,14.6,186.67,136.3,07:015,22:02,07:02,96.5,92.0,101,8,40,10,57,91
183,2022-01-09,Open Water,1.5,118,508,,8.11,12.57,159.32,nan,nan,nan,134.0,166.0,102,0,0,5,27,3
184,2022-01-09,Freestyle,9.47,49,234,,23.5,14.82,69.58,nan,nan,nan,114.0,122.0,106,13,28,2,40,29
185,2022-01-09,Walking,8.33,60,113,1571.0,37.37,138.41,58.47,07:58,28:58,07:58,82.5,85.0,80,43,22,0,52,34
186,2022-01-09,Outdoor Cycling,6.74,103,185,,3.18,36.58,165.99,nan,nan,nan,143.0,177.0,109,31,45,15,48,2
187,2022-01-09,Cricket,1.43,25,348,3444.0,2.2,127.65,207.4,07:015,22:02,07:02,99.0,92.0,106,43,40,10,25,49
188,2022-01-09,Indoor Cycling,3.22,39,528,,22.69,108.46,318.33,nan,nan,nan,90.0,90.0,90,6,32,0,38,92
189,2022-01-09,Outdoor Cycling,2.81,92,395,,19.26,102.58,151.5,nan,nan,nan,139.5,177.0,102,38,45,15,28,20
190,2022-01-09,Outdoor Running,6.32,63,475,7618.0,13.56,94.31,134.84,06:44,27:44,06:15,140.0,190.0,90,44,0,71,29,94
191,2022-01-09,Cricket,7.91,94,529,3444.0,4.67,10.35,275.24,07:015,22:02,07:02,95.0,92.0,98,28,40,10,55,88
192,2022-01-09,Treadmill,4.88,67,117,4550.0,33.68,188.61,142.97,07:59,27:58,07:58,101.0,105.0,97,26,26,7,42,50
193,2022-01-09,Freestyle,4.92,82,271,,18.67,190.16,115.33,nan,nan,nan,113.5,122.0,105,36,28,2,33,50
194,2022-01-09,Open Water,2.86,120,541,,2.61,100.28,222.68,nan,nan,nan,123.5,166.0,81,30,0,5,20,31
195,2022-01-09,Indoor Cycling,2.47,90,502,,21.35,179.46,312.81,nan,nan,nan,91.5,90.0,93,32,32,0,53,29
196,2022-01-09,Pool Swimming,5.92,89,319,,4.3,178.34,106.57,nan,nan,nan,137.5,175.0,100,14,20,15,49,86
197,2022-01-09,Outdoor Running,8.99,106,210,7618.0,11.64,182.93,276.69,06:44,27:44,06:15,143.5,190.0,97,40,0,71,28,39
