Player,Pos,Team,Num,Height,Weight,DOB
"Awuzie, Chidobe",CB,TEN,22,"6'0""",202 lbs,5/24/95
"Baccellia, Andre",WR,ARI,-,"5'10""",175 lbs,1/7/97
"Bachman, Alex",WR,HOU,14,"6'0""",190 lbs,5/29/96
"Bada, David",DT,WAS,64,"6'4""",293 lbs,4/24/95
"Badgley, Michael",K,DET,17,"5'10""",188 lbs,7/28/95
"Badie, Tyler",RB,DEN,36,"5'8""",197 lbs,2/7/00
"Bagent, Tyson",QB,CHI,17,"6'3""",213 lbs,6/8/00
"Bailey, Jake",P,MIA,16,"6'2""",214 lbs,6/18/97
"Bailey, Quinn",OT,DEN,75,"6'6""",323 lbs,10/18/95
"Bailey, Zack",G,LAC,78,"6'5""",300 lbs,11/8/95
"Baker, Budda",S,ARI,3,"5'10""",195 lbs,1/10/96
"Baker Jr., Darrell",CB,IND,39,"6'1""",190 lbs,3/27/98
"Baldwin, Daylen",WR,MIN,85,"6'2""",219 lbs,11/24/99
"Ball, Josh",OT,DAL,75,"6'8""",304 lbs,5/15/98
"Ballentine, Corey",CB,GB,35,"5'11""",196 lbs,4/13/96
"Bandy, Michael",WR,DEN,83,"5'10""",190 lbs,12/5/97
"Banks, Aaron",OL,SF,65,"6'5""",325 lbs,9/3/97
"Banks, Deonte",CB,NYG,25,"6'2""",200 lbs,3/3/01
"Banks, Eric",DT,TB,-,"6'5""",274 lbs,1/30/98
"Banks, Keshawn",LB,GB,51,"6'3""",251 lbs,12/21/99
"Barcoo, Luq",CB,PIT,35,"6'1""",180 lbs,7/27/98
"Baringer, Bryce",P,NE,17,"6'3""",215 lbs,4/26/99
"Barkley, Matt",QB,JAC,19,"6'2""",227 lbs,9/8/90
"Barkley, Saquon",RB,PHI,26,"6'0""",232 lbs,2/9/97
"Barmore, Christian",DL,NE,90,"6'5""",315 lbs,7/28/99
"Barnes, Derrick",LB,DET,55,"6'0""",240 lbs,5/29/99
"Barnes, Kalon",DB,PIT,-,"6'0""",186 lbs,12/16/98
"Barnes, Krys",LB,ARI,-,"6'2""",229 lbs,4/2/98
"Barnes, Zaire",LB,NYJ,53,"6'1""",232 lbs,9/3/99
"Barnett, Derek",DE,HOU,-,"6'3""",259 lbs,6/25/96
"Barno, Amare",LB,CAR,90,"6'6""",245 lbs,4/26/99
"Barrett, Alex",DL,SF,58,"6'2""",250 lbs,3/6/94
"Barrett, Shaquil",LB,MIA,-,"6'2""",250 lbs,11/17/92
"Bartch, Ben",OL,SF,78,"6'6""",315 lbs,7/22/98
"Barton, Cody",LB,DEN,-,"6'2""",237 lbs,11/13/96
"Barton, Jackson",OL,ARI,66,"6'7""",302 lbs,8/8/95
"Basham, Boogie",LB,NYG,45,"6'3""",274 lbs,12/16/97
"Baskerville, Micah",LB,CHI,47,"6'0""",224 lbs,10/19/99
"Bass, T.J.",G,DAL,66,"6'4""",325 lbs,3/31/99
"Bass, Tyler",K,BUF,2,"5'10""",183 lbs,2/14/97
"Bateman, Rashod",WR,BAL,7,"6'1""",197 lbs,11/29/99
"Bates, John",TE,WAS,87,"6'6""",259 lbs,11/6/97
"Bates, Ryan",G,CHI,71,"6'4""",302 lbs,2/14/97
"Bates III, Jessie",S,ATL,3,"6'1""",200 lbs,2/26/97
"Battle, Jordan",S,CIN,27,"6'1""",210 lbs,12/14/00
"Baun, Zack",LB,PHI,53,"6'3""",225 lbs,12/30/96
"Bawden, Nick",FB,NYJ,48,"6'2""",245 lbs,6/22/96
"Beach, Tyler",OT,PIT,-,"6'6""",290 lbs,6/14/99
"Beachum, Kelvin",OL,ARI,68,"6'3""",308 lbs,6/8/89
"Beal Jr., Robert",DL,SF,51,"6'4""",250 lbs,8/18/99
"Beathard, C.J.",QB,JAC,3,"6'2""",215 lbs,11/16/93
"Beauplan, Abraham",LB,MIN,39,"6'2""",235 lbs,2/3/00
"Beavers, Darrian",LB,NYG,43,"6'4""",255 lbs,7/5/99
"Beck, Andrew",FB,HOU,47,"6'3""",255 lbs,5/15/96
"Becton, Mekhi",OT,NYJ,77,"6'7""",363 lbs,4/18/99
"Bell, D'Anthony",S,CLE,37,"6'1""",211 lbs,10/17/96
"Bell, David",WR,CLE,18,"6'1""",212 lbs,12/14/00
"Bell, Markquese",S,DAL,14,"6'3""",205 lbs,1/6/99
"Bell, Quinton",LB,MIA,56,"6'4""",251 lbs,5/9/96
"Bell, Ronnie",WR,SF,10,"6'0""",190 lbs,1/28/00
"Bell, Travis",DL,CIN,90,"6'1""",305 lbs,10/27/98
"Bell, Vonn",S,CIN,24,"5'11""",205 lbs,12/12/94
"Bellinger, Daniel",TE,NYG,82,"6'6""",255 lbs,9/22/00
"Belton, Dane",S,NYG,24,"6'1""",190 lbs,12/7/00
"Benford, Christian",CB,BUF,47,"6'1""",205 lbs,9/21/00
"Bennett, Jakorian",CB,LV,0,"5'11""",195 lbs,8/23/00
"Bennett, Stetson",QB,LAR,13,"5'11""",190 lbs,10/28/97
"Bentley, Ja'Whaun",LB,NE,8,"6'2""",250 lbs,8/24/96
"Benton, Keeanu",DL,PIT,95,"6'4""",309 lbs,7/17/01
"Bergeron, Matthew",OL,ATL,65,"6'5""",323 lbs,2/26/00
"Bernard, Terrel",LB,BUF,43,"6'1""",224 lbs,5/7/99
"Bernard-Converse, Jarrick",S,NYJ,29,"6'1""",197 lbs,4/29/00
"Berrios, Braxton",WR,MIA,-,"5'9""",185 lbs,10/6/95
"Betts, Mathieu",LB,DET,-,"6'3""",250 lbs,3/22/95
"Biadasz, Tyler",C,WAS,63,"6'3""",316 lbs,11/20/97
"Bigsby, Tank",RB,JAC,4,"6'0""",213 lbs,8/30/01
"Billings, Andrew",DL,CHI,97,"6'1""",311 lbs,3/6/95
"Bitonio, Joel",G,CLE,75,"6'4""",320 lbs,10/11/91
"Black, Henry",S,IND,38,"6'0""",204 lbs,1/3/97
"Blackmon, Mekhi",CB,MIN,5,"5'11""",178 lbs,3/18/99
"Blackshear, Raheem",RB,CAR,3,"5'9""",190 lbs,6/5/98
"Blackson, Angelo",DL,JAC,90,"6'4""",318 lbs,11/14/92
"Blackwell, Josh",DB,CHI,39,"5'11""",180 lbs,4/5/99
"Blair, Chris",WR,ATL,17,"6'2""",198 lbs,10/6/97
"Bland, DaRon",CB,DAL,26,"6'0""",197 lbs,7/12/99
"Blankenship, Reed",S,PHI,32,"6'1""",203 lbs,3/2/99
"Blasingame, Khari",FB,CHI,35,"6'0""",233 lbs,7/1/96
"Bledsoe, Joshuah",S,NE,24,"5'11""",207 lbs,12/30/98
"Blount, Joey",S,ARI,32,"6'1""",201 lbs,11/16/98
"Board, Chris",LB,BAL,-,"6'2""",240 lbs,7/23/95
"Bobenmoyer, Jacob",LS,LV,50,"6'2""",235 lbs,5/28/97
"Bobo, Jake",WR,SEA,19,"6'4""",207 lbs,8/4/98
"Bohanna, Quinton",DT,TEN,97,"6'4""",360 lbs,3/16/99
"Bojorquez, Corey",P,CLE,-,"6'0""",217 lbs,9/13/96
"Bolden, Brandon",RB,LV,34,"5'11""",220 lbs,1/26/90
"Bolden, Isaiah",CB,NE,7,"6'2""",205 lbs,12/16/99
"Bolles, Garett",OT,DEN,72,"6'5""",300 lbs,5/27/92
"Bolton, Nick",LB,KC,32,"5'11""",237 lbs,3/10/00
"Bonitto, Nik",LB,DEN,42,"6'3""",240 lbs,9/26/99
"Bonner, Ethan",CB,MIA,38,"6'1""",186 lbs,10/23/99
"Booker, Thomas",DT,PHI,59,"6'3""",301 lbs,11/11/99
"Boone, Mike",RB,CAR,34,"5'10""",206 lbs,6/30/95
"Booth Jr., Andrew",CB,MIN,23,"6'0""",194 lbs,9/28/00
"Bootle, Dicaprio",CB,CAR,32,"5'10""",180 lbs,9/17/97
"Borders, Breon",DB,NE,35,"6'0""",189 lbs,7/22/95
"Borom, Larry",OL,CHI,75,"6'5""",333 lbs,3/30/99
"Bosa, Joey",LB,LAC,97,"6'5""",280 lbs,7/11/95
"Bosa, Nick",DL,SF,97,"6'4""",266 lbs,10/23/97
"Bostick Jr., Earl",OT,DAL,64,"6'6""",310 lbs,12/31/98
"Boswell, Chris",K,PIT,9,"6'2""",185 lbs,3/16/91
"Bourne, Kendrick",WR,NE,84,"6'1""",205 lbs,8/4/95
"Boutte, Kayshon",WR,NE,80,"6'0""",197 lbs,5/7/02
"Bouyer-Randle, Brandon",LB,WAS,46,"6'2""",240 lbs,5/2/97
"Bowden Jr., Lynn",WR,NO,5,"6'1""",204 lbs,10/14/97
"Boyd, Kris",CB,HOU,17,"5'11""",200 lbs,9/12/96
"Boye-Doe, Ekow",CB,KC,40,"6'0""",171 lbs,11/4/99
"Boyle, Tim",QB,HOU,16,"6'4""",232 lbs,10/3/94
"Bozeman, Bradley",C,LAC,-,"6'5""",325 lbs,11/24/94
"Bradberry, James",CB,PHI,24,"6'1""",210 lbs,8/4/93
"Bradbury, Garrett",C,MIN,56,"6'3""",300 lbs,6/20/95
"Bradford, Anthony",G,SEA,75,"6'5""",332 lbs,4/28/01
"Bradley-King, Will",DE,NE,52,"6'4""",265 lbs,12/22/97
"Branch, Brian",DB,DET,32,"6'0""",203 lbs,10/22/01
"Brandel, Blake",G,MIN,64,"6'7""",315 lbs,1/23/97
"Braswell, Christian",CB,JAC,21,"5'10""",181 lbs,9/27/99
"Bredeson, Ben",G,TB,-,"6'5""",310 lbs,2/20/98
"Brendel, Jake",OL,SF,64,"6'4""",299 lbs,9/10/92
"Brents, JuJu",CB,IND,29,"6'3""",198 lbs,1/18/00
"Bresee, Bryan",DT,NO,90,"6'5""",305 lbs,10/6/01
"Brewer, Aaron",G,MIA,55,"6'1""",295 lbs,10/28/97
"Brewer, Aaron",LS,ARI,-,"6'5""",232 lbs,7/5/90
"Brewer, C.J.",DL,TB,95,"6'2""",290 lbs,11/22/97
"Brewer, Chandler",OL,JAC,67,"6'6""",320 lbs,6/12/97
"Brightwell, Gary",RB,NYG,23,"6'1""",220 lbs,2/28/98
"Brisker, Jaquan",DB,CHI,9,"6'1""",200 lbs,4/20/99
"Brissett, Jacoby",QB,NE,12,"6'4""",235 lbs,12/11/92
"Britt, K.J.",LB,TB,52,"6'0""",235 lbs,6/4/99
"Broeker, Nick",G,HOU,64,"6'4""",305 lbs,10/7/00
"Brooks, Chris",RB,MIA,35,"6'1""",223 lbs,1/11/00
"Brooks, Curtis",DT,WAS,68,"6'2""",287 lbs,2/6/98
"Brooks, Jalen",WR,DAL,83,"6'2""",205 lbs,5/7/00
"Brooks, Jordyn",LB,MIA,-,"6'0""",240 lbs,10/21/97
"Brooks, Karl",DL,GB,94,"6'3""",296 lbs,5/8/00
"Brooks, Kendell",S,IND,-,"6'0""",206 lbs,3/3/00
"Brooks, Mason",OL,WAS,64,"6'6""",315 lbs,10/11/99
"Brooks, Natrone",CB,ATL,35,"5'11""",176 lbs,12/11/99
"Brown, A.J.",WR,PHI,11,"6'1""",226 lbs,6/30/97
"Brown, Ben",G,LV,-,"6'5""",313 lbs,5/19/98
"Brown, Brittain",RB,LV,38,"6'1""",205 lbs,10/10/97
"Brown, Chase",HB,CIN,30,"5'10""",211 lbs,3/21/00
"Brown, Derrick",DT,CAR,95,"6'5""",320 lbs,4/15/98
"Brown, Dyami",WR,WAS,2,"6'0""",195 lbs,11/1/99
"Brown, Evan",C,ARI,-,"6'2""",320 lbs,9/16/96
"Brown, Ji'ayir",S,SF,27,"5'11""",202 lbs,1/25/00
"Brown, Marquise",WR,KC,-,"5'9""",180 lbs,6/4/97
"Brown, Mike",S,TEN,44,"6'1""",215 lbs,4/7/99
"Brown, Montaric",CB,JAC,30,"6'0""",190 lbs,8/24/99
"Brown, Noah",WR,HOU,85,"6'2""",215 lbs,1/6/96
"Brown, Pharaoh",TE,SF,-,"6'5""",260 lbs,5/4/94
"Brown, Shakel",DT,TEN,91,"6'3""",295 lbs,12/4/98
"Brown, Spencer",RB,CAR,41,"6'0""",220 lbs,11/13/98
"Brown, Spencer",OT,BUF,79,"6'8""",311 lbs,2/28/98
"Brown, Sydney",S,PHI,21,"5'10""",211 lbs,3/21/00
"Brown, Tanner",K,LAR,49,"6'0""",177 lbs,12/28/99
"Brown, Tony",DB,CLE,-,"6'0""",199 lbs,7/13/95
"Brown, Tre",CB,SEA,22,"5'10""",185 lbs,9/24/97
"Brown, Trent",OT,CIN,-,"6'8""",370 lbs,4/13/93
"Brown III, Bobby",NT,LAR,95,"6'4""",324 lbs,8/7/00
"Brown IV, Earnest",DE,SF,-,"6'5""",270 lbs,1/8/99
"Brown Jr., Anthony",QB,LV,-,"6'1""",223 lbs,7/27/98
"Brown Jr., Orlando",OT,CIN,75,"6'8""",345 lbs,5/2/96
"Browning, Baron",LB,DEN,56,"6'3""",240 lbs,2/19/99
"Browning, Jake",QB,CIN,6,"6'2""",209 lbs,4/11/96
"Brownlee, Jason",WR,NYJ,16,"6'2""",198 lbs,1/30/99
"Brunskill, Daniel",OL,TEN,60,"6'5""",300 lbs,1/27/94
"Bruss, Logan",OL,LAR,60,"6'5""",309 lbs,10/6/98
"Bryan, Taven",DT,IND,96,"6'4""",291 lbs,3/11/96
"Bryant, Austin",DE,SF,40,"6'5""",250 lbs,11/12/96
"Bryant, Coby",CB,SEA,8,"6'1""",193 lbs,3/29/99
"Bryant, Harrison",TE,LV,-,"6'5""",230 lbs,4/23/98
"Bryant, Martavis",WR,DAL,17,"6'4""",211 lbs,12/20/91
"Bryant, Myles",DB,HOU,-,"5'9""",192 lbs,1/2/98
"Buckner, DeForest",DT,IND,99,"6'7""",295 lbs,3/17/94
"Buechele, Shane",QB,BUF,6,"6'0""",210 lbs,1/8/98
"Buggs, Isaiah",DT,KC,96,"6'3""",295 lbs,8/24/96
"Bullard, Jonathan",DE,MIN,90,"6'3""",290 lbs,10/22/93
"Burford, Spencer",OL,SF,74,"6'4""",300 lbs,7/19/00
"Burks, Oren",LB,PHI,-,"6'3""",233 lbs,3/21/95
"Burks, Treylon",WR,TEN,16,"6'2""",225 lbs,3/22/00
"Burney, Amari",LB,LV,56,"6'2""",228 lbs,6/19/00
"Burns, Artie",CB,SEA,23,"6'0""",187 lbs,5/1/95
"Burns, Brian",LB,NYG,-,"6'5""",250 lbs,4/23/98
"Burns, Robert",RB,ATL,-,"5'11""",222 lbs,9/25/98
"Burrow, Joe",QB,CIN,9,"6'4""",215 lbs,12/10/96
"Bush, Devin",LB,CLE,-,"5'11""",234 lbs,7/18/98
"Butker, Harrison",K,KC,7,"6'4""",205 lbs,7/14/95
"Butler, Adam",DT,LV,-,"6'5""",300 lbs,4/12/94
"Butler, Darien",LB,LV,58,"6'0""",225 lbs,3/2/00
"Butler, Josh",CB,DAL,40,"6'0""",182 lbs,11/25/96
"Butler, Matthew",DT,LV,94,"6'3""",290 lbs,6/10/99
"Butler, Percy",S,WAS,35,"6'0""",191 lbs,5/29/00
"Byard, Kevin",S,CHI,-,"5'11""",212 lbs,8/17/93
"Bynum, Camryn",S,MIN,24,"6'0""",200 lbs,7/19/98
"Bynum, Terrell",WR,IND,-,"6'0""",188 lbs,8/3/98
"Byrd, Henry",OT,MIN,68,"6'5""",295 lbs,7/1/99
"Cager, Lawrence",TE,NYG,83,"6'5""",220 lbs,8/20/97
"Cajuste, Yodny",OT,NYG,72,"6'5""",310 lbs,2/21/96
"Calcaterra, Grant",TE,PHI,81,"6'4""",240 lbs,12/4/98
"Caliendo, Mike",OL,KC,66,"6'4""",301 lbs,10/21/97
"Callaway, Marquez",WR,PIT,-,"6'2""",204 lbs,3/27/98
"Camarda, Jake",P,TB,5,"6'1""",193 lbs,4/20/99
"Camp, Jalen",WR,CAR,18,"6'2""",220 lbs,7/10/98
"Campbell, Chance",LB,TEN,45,"6'2""",232 lbs,10/8/99
"Campbell, De'Vondre",LB,SF,-,"6'4""",232 lbs,7/3/93
"Campbell, Elijah",DB,MIA,22,"5'11""",200 lbs,8/24/95
"Campbell, Jack",LB,DET,46,"6'5""",243 lbs,8/22/00
"Campbell, Parris",WR,NYG,0,"6'1""",205 lbs,7/16/97
"Campbell, Tevaughn",CB,JAC,29,"6'0""",200 lbs,6/14/93
"Campbell, Tyson",CB,JAC,32,"6'1""",195 lbs,3/17/00
"Cappa, Alex",G,CIN,65,"6'6""",310 lbs,1/27/95
"Cardona, Joe",LS,NE,49,"6'3""",245 lbs,4/16/92
"Carlson, Anders",K,GB,17,"6'5""",219 lbs,6/16/98
"Carlson, Daniel",K,LV,2,"6'5""",215 lbs,1/23/95
"Carlson, Stephen",TE,CHI,88,"6'4""",240 lbs,12/12/96
"Carman, Jackson",OT,CIN,79,"6'5""",322 lbs,1/22/00
"Carr, Derek",QB,NO,4,"6'3""",215 lbs,3/28/91
"Carter, Jalen",DT,PHI,98,"6'3""",314 lbs,4/4/01
"Carter, Ja'Tyre",OL,CHI,69,"6'3""",311 lbs,1/15/99
"Carter, Lorenzo",LB,ATL,0,"6'5""",252 lbs,12/10/95
"Carter, Michael",RB,ARI,22,"5'8""",201 lbs,5/7/99
"Carter, Zach",DT,CIN,95,"6'4""",290 lbs,4/7/99
"Carter II, Andre",LB,MIN,55,"6'6""",256 lbs,6/2/00
"Carter II, Michael",CB,NYJ,30,"5'10""",184 lbs,3/8/99
"Carvin, Jerome",OL,CHI,63,"6'3""",308 lbs,9/20/00
"Cashman, Blake",LB,MIN,53,"6'1""",237 lbs,5/10/96
"Castro-Fields, Tariq",CB,WAS,26,"6'1""",197 lbs,1/14/99
"Chachere, Andre",S,ARI,36,"6'0""",197 lbs,2/10/96
"Chaisson, K'Lavon",LB,CAR,-,"6'3""",245 lbs,7/25/99
"Chandler, Ty",RB,MIN,32,"5'11""",204 lbs,5/12/98
"Charbonnet, Zach",RB,SEA,26,"6'1""",214 lbs,1/8/01
"Charles, Irvin",WR,NYJ,19,"6'4""",219 lbs,4/13/97
"Charles, Saahdiq",G,TEN,-,"6'4""",322 lbs,7/26/99
"Chase, Ja'Marr",WR,CIN,1,"6'0""",201 lbs,3/1/00
"Chenal, Leo",LB,KC,54,"6'3""",250 lbs,10/26/00
"Cherelus, Claudin",LB,CAR,53,"6'2""",230 lbs,2/9/99
"Chestnut, Julius",RB,TEN,36,"5'11""",228 lbs,10/26/00
"Chinn, Jeremy",DB,WAS,-,"6'3""",220 lbs,2/26/98
"Chisena, Dan",WR,ARI,-,"6'3""",202 lbs,2/25/97
"Chosen, Robbie",WR,MIA,3,"6'3""",185 lbs,5/9/93
"Christensen, Brady",G,CAR,70,"6'6""",300 lbs,9/27/96
"Christiansen, Cole",LB,KC,48,"6'1""",230 lbs,7/30/97
"Chubb, Bradley",LB,MIA,2,"6'4""",268 lbs,6/24/96
"Chubb, Nick",RB,CLE,24,"5'11""",227 lbs,12/27/95
"Cine, Lewis",S,MIN,6,"6'2""",199 lbs,10/5/99
"Cisco, Andre",S,JAC,5,"6'0""",210 lbs,3/23/00
"Clapp, Will",C,BUF,-,"6'5""",311 lbs,12/10/95
"Clark, Chuck",S,NYJ,23,"6'0""",210 lbs,4/19/95
"Clark, Damone",LB,DAL,33,"6'3""",240 lbs,6/28/00
"Clark, Jerrod",DL,LAC,72,"6'3""",334 lbs,11/16/99
"Clark, Kei'Trel",CB,ARI,13,"5'10""",181 lbs,3/19/01
"Clark, Kenny",DL,GB,97,"6'3""",314 lbs,10/4/95
"Clark, Le'Raven",OT,PHI,-,"6'5""",319 lbs,4/22/93
"Claybrooks, Chris",CB,JAC,6,"5'9""",180 lbs,7/17/97
"Clemons, Micheal",DL,NYJ,72,"6'5""",270 lbs,8/21/97
"Cleveland, Ben",G,BAL,66,"6'6""",370 lbs,8/25/98
"Cleveland, Ezra",G,JAC,76,"6'6""",311 lbs,5/8/98
"Cleveland, Tyrie",WR,IND,15,"6'2""",205 lbs,9/20/97
"Clifford, Sean",QB,GB,8,"6'2""",218 lbs,7/14/98
"Cline, Kameron",DE,BUF,96,"6'4""",283 lbs,2/19/98
"Clowney, Jadeveon",LB,CAR,-,"6'5""",266 lbs,2/14/93
"Coburn, Keondre",NT,TEN,91,"6'2""",332 lbs,5/23/00
"Cochran, Devin",OT,CIN,76,"6'7""",310 lbs,7/17/98
"Cochrane, Jack",LB,KC,43,"6'3""",236 lbs,2/9/99
"Cohen, Tarik",RB,CAR,33,"5'6""",181 lbs,7/26/95
"Colbert, Adrian",DB,CHI,25,"6'2""",205 lbs,10/6/93
"Cole, AJ",P,LV,6,"6'4""",220 lbs,11/27/95
"Coleman, DJ",LB,JAC,54,"6'5""",283 lbs,9/22/98
"Coleman III, Douglas",DB,CHI,-,"6'1""",200 lbs,6/28/98
"Colletto, Jack",FB,PIT,45,"6'3""",237 lbs,11/19/98
"Collier, L.J.",DL,ARI,91,"6'2""",291 lbs,9/12/95
"Collins, Aviante",OL,CHI,74,"6'4""",292 lbs,4/21/93
"Collins, Maliek",DT,SF,-,"6'2""",310 lbs,4/8/95
"Collins, Nico",WR,HOU,12,"6'4""",215 lbs,3/19/99
